B_values,r_vK1,r_vK2,r_cK1,r_cK2
14.9978,323.7909235440744,326.82822868551324,226.3596502226379,225.1987497419499
20.0035,242.97566489289375,246.01588553006636,170.19020133695687,169.02876374061415
25.0017,194.56887070521086,197.61202118572402,136.5460719724682,135.38408696199036
30.0052,162.26309668371377,165.30919876464915,114.09287248543583,112.93032840615375
34.9949,139.2463749852885,142.29543898890816,98.0959825558894,96.93286996012111
40.007,121.90629357835182,124.95835130879938,86.04462224495748,84.88092756282437
44.9935,108.48825915604188,111.5433136922963,76.71926467656054,75.55497994983547
49.9768,97.75372940647726,100.81179705644354,69.25907174817692,68.09418649524768
55.0154,88.87700495397344,91.93813766359145,63.09015534084857,61.92465188090491
60.0104,81.54846105384884,84.61265050727334,57.99729695409517,56.83116975177383
64.9975,75.35524734193883,78.42250672041726,53.69355294132928,52.52679220080977
70.042,69.98772208129397,73.05810512912375,49.963719480356666,48.79630694382962
74.9651,65.44590365834115,68.51935284259395,46.80777954725195,45.639720323997594
79.9458,61.420138680018,64.49670758878817,44.01054012658102,42.84181603484772
85.0148,57.80721236652174,60.88697461961107,41.50026809004868,40.330856387648865
90.0733,54.60713484868804,57.69010210288584,39.27695371937086,38.106844855538654
94.9963,51.819918811261,54.90602277366458,37.34058358782651,36.169785712556155
100.0601,49.23911281180569,52.328461126851415,35.54771352564771,34.376196140590544
104.9847,46.96795693767194,50.06047791359906,33.970049979318055,32.79782236265144
109.902,44.90322611605269,47.998932136249785,32.53587028529067,31.362923193285223
115.02,42.941687689424086,46.040726846007516,31.173461854809425,29.999755010106014
120.0209,41.186585431627016,44.288899254867594,29.954525105071983,28.78006515349868
125.1418,39.53468377623696,42.6403690502888,28.80735117653892,27.632109057900173
129.9949,38.08923333779315,41.19813073584389,27.803629805775152,26.627636169481217
134.8511,36.74699519407632,39.859123168723926,26.871656420393386,25.69490083453379
140.0841,35.404720328075776,38.52034801930789,25.93974210661563,24.762154283465904
144.84,34.26891742056488,37.38774229629664,25.151251749160775,23.972897537802183
149.9303,33.13308212859721,36.25534631551259,24.362816075818895,23.183631042472925
154.8785,32.10047360773108,35.226098355964126,23.646109922635112,22.466106785705364
160.1644,31.067832552279395,34.197065966587886,22.929461348053202,21.748572876329497
165.24,30.138425033356107,33.271141690550266,22.284533000464624,21.102783356082437
170.0296,29.312258401953436,32.44827827237862,21.711312663812055,20.528740447742567
175.1051,28.486064461460433,31.62560198434456,21.138144036247194,19.954689615774836
179.8014,27.763120453600052,30.905928586023236,20.636668490638687,19.452388135062236
184.7566,27.0401518587124,30.186427280699466,20.135241484420284,18.950079623468344
189.9926,26.31715665990075,29.46711418188598,19.63386809840923,18.447763560602432
194.7227,25.69742362079463,28.850723604262058,19.204166525151386,18.017200492629307
199.6943,25.077667827986943,28.234497434746704,18.7745127110454,17.586631062448372
204.9265,24.457887560023348,27.618449970271634,18.344911298627437,17.15605484023475
210.4402,23.838080917090462,27.002597196645347,17.915367528900816,16.72547135699251
215.2668,23.321553724013228,26.489548144212502,17.557462679479578,16.366645872575926
220.3201,22.805005422452655,25.976658257049838,17.1996058281085,16.007814668336618
224.5367,22.391750606219407,25.566469486287012,16.91335778277304,15.72074535366165
230.0401,21.875160536922248,25.05389921794284,16.555598520145807,15.361902957465613
234.6409,21.461870168741523,24.643985172646207,16.269435038114988,15.074824187839514
