B_values,r_vK1,r_vK2,r_cK1,r_cK2
14.9978,267.0282373761884,268.21654996286117,210.9150859753676,208.65731322705122
20.0035,200.69012824290039,201.87608443493002,158.86470523411703,156.60408999972785
25.0017,160.9555628357227,162.1391629960615,127.68873893510754,125.42525191233614
30.0052,134.43804905179454,135.61928740762934,106.88352331275564,104.6171279235366
34.9949,115.54575465087528,116.72463438650595,92.06143873960728,89.79210968418178
40.007,101.31332615148791,102.4898332167323,80.89574253759544,78.62343317087301
44.9935,90.30043180489,91.47457475348395,72.25626644022444,69.98095869311096
49.9768,81.49038155043222,82.66215826162781,65.34527548939923,63.066938148953454
55.0154,74.20539359694814,75.37477399004803,59.630971907698296,57.34953765304698
60.0104,68.19126773856914,69.35826874942185,54.9138623095278,52.629324611144256
64.9975,63.10911470110645,64.27373624357,50.92805110642211,48.64038179164055
70.042,58.70477794607164,59.86698852120986,47.47414046645273,45.18326971299321
74.9651,54.97820958972471,56.13806328121782,44.552023456991726,42.25799571921258
79.9458,51.675283416752336,52.83274859466593,41.962370132993826,39.66511567668576
85.0148,48.71128312325994,49.86631313448807,39.63872181134241,37.33814948130186
90.0733,46.08618212626134,47.23877768826034,37.58101853685183,35.27710114780851
94.9963,43.79994655596918,44.95016861081836,35.78918118862344,33.481975576573156
100.0601,41.6832016535838,42.830977937446896,34.13042552938677,31.819804001374106
104.9847,39.820596214034595,40.96598957839803,32.67105270744787,30.357076312915154
109.902,38.12744114835748,39.27045083282286,31.34466694043956,29.027308390604656
115.02,36.51906851214066,37.6595926241305,30.084926416048205,27.76401339201363
120.0209,35.080116296275136,36.218207127459465,28.958102402839682,26.633682416758376
125.1418,33.725924589807036,34.861519009299435,27.897873368595974,25.569827565401855
129.9949,32.54111162422039,33.67433571081656,26.97045670843819,24.638942229758804
134.8511,31.441026767470692,32.571874707141376,26.109554215752752,23.774537288762204
140.0841,30.34104844288257,31.469330920535576,25.24894691651639,22.910120230340574
144.84,29.410390455963313,30.536336937150942,24.52100112030491,22.178680028263027
149.9303,28.479827340899302,29.603268955420006,23.79332431413731,21.44722941125913
154.8785,27.63395206004998,28.7549540550576,23.132061435008875,20.78226447030591
160.1644,26.788172981780978,27.90656376556336,22.47107768342107,20.11728934402001
165.24,26.02706261113367,27.142941155839853,21.876458864856787,19.518802294460098
170.0296,25.35059945636936,26.464102932199257,21.3481446074933,18.986805707015847
175.1051,24.67421810753905,25.785200041251617,20.82007610806901,18.454800927801212
179.8014,24.08245753293543,25.19110203784681,20.358238261872096,17.98928955737548
184.7566,23.49077117866782,24.596944976184172,19.89662846283321,17.523771022990935
189.9926,22.899165430668482,24.002723542259325,19.43526919347771,17.058244854376756
194.7227,22.392144326060023,23.493335141027796,19.04003702477278,16.659215963600943
199.6943,21.885192645718003,22.983890864276756,18.645025682387175,16.260180746912383
204.9265,21.3783158870857,22.47438603674952,18.250255442404754,15.861138836322208
210.4402,20.871520131779217,21.964815445390776,17.855749102195503,15.462089838573084
215.2668,20.449257056474142,21.54011886417733,17.527213865022624,15.12954329116283
220.3201,20.027059200278057,21.115368831393173,17.19889635393938,14.796991273120332
224.5367,19.68935101734062,20.77552755746791,16.93641148781123,14.530945537648314
230.0401,19.26728270310854,20.35067060738692,16.608533987893892,14.198382977882153
234.6409,18.929685046030897,20.010737667396185,16.346428936294554,13.932328431960144
239.4294,18.592141386673365,19.6707596059405,16.0845127374728,13.666269715776796
244.4176,18.254655067060376,19.330733384600265,15.82279943966477,13.400206664410142
249.6179,17.917229701847592,18.990655687376552,15.561304496178247,13.134139107316877
255.0444,17.579869205527963,18.650522888739996,15.300044943433257,12.868066868665371
260.7121,17.242577822788338,18.310331017272183,15.039039606555797,12.601989767846868
265.1309,16.98965739924647,18.05514574088085,14.843464893112472,12.402428640496067
269.7021,16.736780527062937,17.79992279610518,14.648054491337907,12.202864595335148
274.4338,16.483949433964337,17.54466003587736,14.452818837292202,12.00329755267945
279.3344,16.231166495364402,17.289355148990023,14.257769254412947,11.803727432621296
284.4132,15.978434246047158,17.034005644489838,14.0629180487676,11.604154155517017
289.6801,15.725755392874548,16.778608834327468,13.868278616707599,11.404577642608379
295.1457,15.473132828589842,16.523161814018025,13.673865566908287,11.204997816775101
300.8216,15.220569646818984,16.26766144107582,13.47969485900742,11.005414603459469
304.7284,15.052228808092577,16.097296549069004,13.350390913875962,10.872357210792481
310.7826,14.799772069712295,15.841699547820493,13.156663754287358,10.672768196622792
314.9542,14.631505527818051,15.67126675237544,13.027673629298011,10.539706877112325
319.2393,14.463270697951643,15.5008046853619,12.898820126373682,10.406643956931505
325.8901,14.210980599948781,15.245053811259254,12.705811430984395,10.207046544389517
330.4801,14.0428305208696,15.074512658161483,12.577331060734963,10.073979564260847
335.2012,13.874716690517829,14.903937294248955,12.449013902333245,9.940910943428548
340.0592,13.706640549071345,14.733326113089596,12.320868782724114,9.807840676990526
345.0601,13.538603606938448,14.56267740976522,12.192905165514965,9.674768763856992
350.2102,13.370607448408458,14.391989373605591,12.065133208774043,9.54169520735537
355.5165,13.202653735437739,14.221260080321933,11.93756382918955,9.408620015933113
360.9859,13.03474421156635,14.050487483482199,11.810208773435624,9.275543203944869
363.7843,12.950806588697088,13.965084271062329,11.746615534162343,9.209004196564385
369.5132,12.782966806022763,13.794242591710923,11.61960600268947,9.075924995860337
375.4254,12.615175954915834,13.623351895782344,11.492844337812457,8.942844242671587
381.5299,12.447436096765317,13.452409631316792,11.366345881260214,8.809761980157058
384.6571,12.363585961535007,13.366918317189564,11.303200494032524,8.743220299412636
391.0681,12.195926678404089,13.195893538901167,11.177128428763293,8.610135878818854
394.3544,12.112118110401328,13.110359324244383,11.114206440652035,8.543593157551314
401.0955,11.94454462286147,12.939245272067184,10.988603035538011,8.410506746891913
404.5532,11.860780324991511,12.853664605485816,10.92592693709313,8.343963082280023
411.6506,11.693298229372337,12.68245381154836,10.80084013083652,8.210874905552187
415.2936,11.609581097023677,12.59682276708171,10.73843547797895,8.144330425887773
419.0015,11.525880364384554,12.51117398639612,10.676127590852111,8.077785709461253
426.6197,11.358529511905822,12.339821202160396,10.551815800836106,7.944695648477318
430.5337,11.274880118030145,12.254116147324398,10.489819142645537,7.878150349531626
434.5201,11.191248575846906,12.168391252328915,10.427933758446677,7.811604905321707
438.581,11.107635267561218,12.082645944221682,10.366163715377885,7.745059343824943
446.935,10.940464919779462,11.9110916948696,10.242986919825828,7.6119679928314
451.2324,10.856908682786212,11.825281503379081,10.18158933717065,7.545422271799032
455.6133,10.773372284493592,11.739448396660666,10.120325462050696,7.478876570811982
460.0801,10.689856144584148,11.6535916925503,10.059200477560593,7.412330931573476
464.6354,10.6063606897924,11.56771068451855,9.99821983382115,7.345785399202473
469.2817,10.522886353647747,11.481804640775014,9.937389265259368,7.279240022498646
474.0219,10.43943357616745,11.39587280334493,9.87671480924886,7.212694854235295
478.8589,10.356002803477361,11.309914387134333,9.816202826231658,7.14614995147184
483.7956,10.272594487367815,11.223928578964873,9.755860021462231,7.0796053758993
488.8351,10.189209084764654,11.13791453660392,9.695693468525864,7.013061194210195
493.9808,10.105847057109683,11.051871387771783,9.635710634809733,6.946517478504682
499.2359,10.022508869644202,10.965798229146289,9.5759194091118,6.879974306732835
